date,prix100,prix10,prix1
2022-01-22-23:54:33,64997,7295,1026
2022-01-24-09:15:57,64000,7479,1007
2022-01-24-19:38:42,64000,7497,970
2022-01-24-21:40:35,64000,7492,972
2022-01-25-18:27:17,64000,10997,1005
2022-01-26-15:24:51,64997,8697,1004
2022-01-26-15:44:01,64997,8697,1004
2022-01-28-09:07:17,66000,8690,992
2022-01-28-10:06:47,66000,8679,990
2022-01-28-11:06:00,66000,8679,990
2022-01-28-12:05:03,66000,8679,990
2022-01-28-13:04:08,66000,8679,986
2022-01-28-14:03:15,66000,8679,984
2022-01-28-15:02:27,66000,7000,700
2022-01-28-16:01:42,66999,8679,985
2022-01-28-17:01:15,66999,7500,985
2022-01-28-18:00:47,67000,7500,979
2022-01-29-10:43:45,67000,7476,975
2022-01-29-11:42:34,67000,7477,975
2022-01-29-12:41:29,67000,7476,975
2022-01-29-13:40:18,67000,7475,975
2022-01-29-21:54:30,67799,7470,972
2022-01-29-22:53:24,67799,7470,972
2022-02-02-20:24:50,67775,7461,900
2022-02-06-15:01:01,67770,6900,795
2022-02-06-22:39:37,67770,7099,796
2022-02-07-20:20:40,67769,7396,789
2022-02-07-20:32:59,67769,7396,789
2022-02-07-20:45:16,67769,7396,789
2022-02-07-20:57:37,67769,7396,789
2022-02-07-21:09:54,67769,7396,789
2022-02-10-08:55:22,67770,7457,848
2022-02-10-20:23:09,67770,7457,954
2022-02-10-20:36:33,67770,7457,954
2022-02-11-20:40:42,67000,7455,895
2022-02-12-12:41:37,67770,7393,899
2022-09-11-23:36:18,144995,14976,1615
